state,District,MPCE_URP,MPCE_MRP,state_1
6,19,4708.2,5727.32,HR
6,19,2834.0,2963.04,HR
6,19,2055.22,6108.11,HR
6,19,1289.0,1417.01,HR
6,19,1366.83,2159.16,HR
6,19,786.71,863.86,HR
6,19,1045.67,1101.28,HR
6,19,3758.33,3167.79,HR
6,19,6147.8,6216.47,HR
6,19,4025.0,3641.92,HR
6,19,2775.45,2745.82,HR
6,19,3399.6,2520.45,HR
6,19,2989.71,2772.29,HR
6,19,3689.8,3547.39,HR
6,19,1442.33,1558.5,HR
6,19,2067.5,1860.68,HR
6,19,2532.75,1787.2,HR
6,19,1037.75,1072.78,HR
6,19,2349.0,1771.74,HR
6,19,1842.5,1762.36,HR
6,19,1844.38,1482.3,HR
6,19,1915.0,1774.77,HR
6,19,1821.17,1752.67,HR
6,19,3177.33,3250.21,HR
6,19,3466.0,3993.88,HR
6,19,2381.67,2305.71,HR
6,19,2096.2,2142.27,HR
6,19,2388.0,2341.97,HR
6,19,1826.75,1605.83,HR
6,19,880.57,967.81,HR
6,19,1478.67,1418.47,HR
6,19,4040.86,3928.06,HR
6,19,5067.0,5078.51,HR
6,19,4491.8,4739.01,HR
6,19,3443.33,3555.94,HR
6,19,2597.17,2793.95,HR
6,19,4536.83,4990.69,HR
6,19,2753.25,3010.41,HR
6,19,3659.5,5447.36,HR
6,20,4193.5,4362.95,HR
6,20,5926.0,5861.1,HR
6,20,1649.33,1371.94,HR
6,20,1448.17,1385.45,HR
6,20,1596.5,1535.82,HR
6,20,1677.86,1391.34,HR
6,20,1684.67,1541.71,HR
6,20,1535.2,1429.61,HR
6,2,2187.33,2716.1,HR
6,2,4009.2,4805.64,HR
6,2,2148.75,2900.12,HR
6,2,2280.25,2560.9,HR
6,2,3610.25,4410.35,HR
6,2,3211.25,4154.02,HR
6,2,2815.75,3393.8,HR
6,2,1644.75,2050.98,HR
6,19,3893.67,4638.0,HR
6,19,5431.5,6548.5,HR
6,19,1182.14,1320.62,HR
6,19,1851.5,1970.68,HR
6,19,1977.0,2172.2,HR
6,19,3648.0,3664.3,HR
6,19,841.4,1049.48,HR
6,19,826.83,878.89,HR
6,3,5021.6,3876.31,HR
6,3,3830.0,2826.67,HR
6,3,2215.0,2494.5,HR
6,3,1586.75,1575.14,HR
6,3,3200.33,3067.43,HR
6,3,2089.2,2935.47,HR
6,3,983.25,966.88,HR
6,3,909.25,964.25,HR
6,19,4211.75,4004.93,HR
6,19,3826.67,3807.31,HR
6,19,3127.5,2964.49,HR
6,19,2841.0,2763.23,HR
6,19,2665.67,2553.61,HR
6,19,2585.5,2525.5,HR
6,19,973.4,991.1,HR
6,19,1181.8,1148.07,HR
6,19,7225.0,4985.13,HR
6,19,4535.25,5296.45,HR
6,19,2222.83,2813.79,HR
6,19,1618.0,1828.03,HR
6,19,1604.17,1775.54,HR
6,19,1579.8,1643.64,HR
6,19,924.75,974.89,HR
6,19,887.0,938.37,HR
6,2,3824.0,4185.23,HR
6,2,6191.5,7282.25,HR
6,2,2495.54,2817.33,HR
6,2,2774.0,3309.55,HR
6,2,2615.75,3104.65,HR
6,2,3282.0,3528.42,HR
6,2,892.2,944.58,HR
6,2,918.13,961.26,HR
6,19,9338.75,8654.13,HR
6,19,11669.5,11749.09,HR
6,19,6168.0,5725.34,HR
6,19,3084.0,3156.97,HR
6,19,2210.0,2280.47,HR
6,19,3603.0,3465.74,HR
6,19,760.0,663.18,HR
6,19,684.29,727.74,HR
6,2,4224.83,4269.81,HR
6,2,5046.0,4136.31,HR
6,2,2882.5,3485.31,HR
6,2,2094.0,2285.41,HR
6,2,2458.71,2459.26,HR
6,2,2611.0,2308.47,HR
6,2,978.33,1128.84,HR
6,2,999.25,989.52,HR
6,1,3230.0,3525.89,HR
6,1,4559.0,5047.22,HR
6,1,1330.17,1811.67,HR
6,1,1348.38,1596.49,HR
6,1,5022.0,5547.21,HR
6,1,2047.8,2329.06,HR
6,1,1298.11,1376.01,HR
6,1,1800.8,2234.61,HR
6,19,4848.4,6577.89,HR
6,19,9060.5,10480.57,HR
6,19,6893.67,8024.63,HR
6,19,9775.25,11645.93,HR
6,19,6032.75,7590.25,HR
6,19,4933.0,5843.24,HR
6,19,10230.33,11203.53,HR
6,19,7096.67,9018.08,HR
